Derinlik,ML,Yer,Timestamp
7.9,1.8,MALATYA,1702056468.0
2.9,2.0,MALATYA,1702054827.0
10.8,2.6,MALATYA,1702054664.0
7.8,1.5,MALATYA,1702054095.0
9.0,1.1,HATAY,1702053575.0
7.5,1.3,MALATYA,1702051847.0
9.8,2.3,ELAZIG,1702051475.0
7.6,1.6,MALATYA,1702050770.0
5.9,2.0,KAHRAMANMARAS,1702048212.0
7.9,1.8,ADIYAMAN,1702046759.0
3.0,2.3,KAHRAMANMARAS,1702043345.0
5.0,2.7,KONYA,1702042747.0
9.0,1.9,YALOVA,1702042308.0
5.3,1.2,YALOVA,1702042120.0
13.6,1.8,MALATYA,1702041881.0
5.0,1.6,YALOVA,1702041851.0
28.3,1.4,MALATYA,1702039967.0
0.0,1.7,MALATYA,1702037601.0
6.0,1.8,KAHRAMANMARAS,1702037486.0
3.5,2.5,MALATYA,1702035699.0
2.3,1.6,KAHRAMANMARAS,1702034609.0
5.0,2.4,MALATYA,1702032276.0
0.0,0.9,KAHRAMANMARAS,1702030027.0
25.5,1.2,MALATYA,1702029746.0
1.3,1.8,MERSIN,1702029142.0
15.9,1.9,KONYA,1702028456.0
1.0,1.7,KAHRAMANMARAS,1702026909.0
0.0,1.9,KAYSERI,1702026684.0
5.0,1.8,HATAY,1702026019.0
4.3,2.3,HATAY,1702024555.0
13.8,1.4,AFYONKARAHISAR,1702023469.0
26.3,1.8,MALATYA,1702022684.0
17.1,1.4,MALATYA,1702021336.0
3.6,2.1,YOZGAT,1702021104.0
2.1,2.9,KAHRAMANMARAS,1702019752.0
0.0,1.6,MERSIN,1702019399.0
11.6,1.7,KAHRAMANMARAS,1702017773.0
5.0,1.4,MALATYA,1702017241.0
9.3,1.3,SIVAS,1702015773.0
5.0,1.7,BURSA,1702015649.0
11.9,1.8,MALATYA,1702015640.0
19.2,1.7,ELAZIG,1702015099.0
9.9,1.9,ELAZIG,1702012700.0
6.0,1.7,HATAY,1702012150.0
4.4,2.6,DIYARBAKIR,1702009222.0
6.1,1.6,KAHRAMANMARAS,1702008244.0
16.9,1.4,MALATYA,1702005451.0
3.6,1.8,SIRNAK,1702004582.0
18.5,1.2,KAHRAMANMARAS,1702002828.0
11.6,1.7,MALATYA,1701998061.0
5.4,1.3,MALATYA,1701997431.0
5.0,1.8,MALATYA,1701997077.0
7.1,1.5,KAHRAMANMARAS,1701995493.0
3.3,1.3,MALATYA,1701990699.0
5.0,1.5,MALATYA,1701990368.0
2.8,1.4,MALATYA,1701989992.0
7.6,1.5,KAHRAMANMARAS,1701989861.0
11.7,1.6,MUGLA,1701988049.0
14.1,1.1,MALATYA,1701987541.0
6.9,1.5,HATAY,1701986811.0
14.9,1.8,BINGOL,1701986527.0
4.7,1.7,ELAZIG,1701986180.0
4.6,2.6,ELAZIG,1701983785.0
11.3,1.4,MALATYA,1701982815.0
5.6,2.0,BINGOL,1701982343.0
8.6,1.8,BINGOL,1701981264.0
9.5,1.9,BINGOL,1701981141.0
5.0,1.7,MALATYA,1701981089.0
9.4,1.4,KONYA,1701979934.0
12.5,1.2,HATAY,1701978693.0
