"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.08,20:27:48,38.4550,37.6182,7.9,-.-,1.8,-.-,BALABAN-DARENDE(MALATYA)"
"2023.12.08,20:00:27,38.1748,37.8797,2.9,-.-,2.0,-.-,POLAT-DOGANSEHIR(MALATYA)"
"2023.12.08,19:57:44,38.6262,37.5078,10.8,-.-,2.6,-.-,CUKURKAYA-DARENDE(MALATYA)"
"2023.12.08,19:48:15,38.0507,37.7412,7.8,-.-,1.5,-.-,SOGUT-DOGANSEHIR(MALATYA)"
"2023.12.08,19:39:35,36.3947,36.2722,9.0,-.-,1.1,-.-,GULOVA-KUMLU(HATAY)"
"2023.12.08,19:10:47,38.4417,37.6320,7.5,-.-,1.3,-.-,ASAGIULUPINAR-DARENDE(MALATYA)"
"2023.12.08,19:04:35,38.4905,39.5560,9.8,-.-,2.3,-.-,GEZIN-MADEN(ELAZIG)"
"2023.12.08,18:52:50,38.4347,37.6248,7.6,-.-,1.6,-.-,ASAGIULUPINAR-DARENDE(MALATYA)"
"2023.12.08,18:10:12,37.4467,36.9842,5.9,-.-,2.0,-.-,KOCALAR-(KAHRAMANMARAS)"
"2023.12.08,17:45:59,38.1037,38.5592,7.9,-.-,1.8,-.-,ARIKONAK-SINCIK(ADIYAMAN)"
"2023.12.08,16:49:05,38.1118,36.6508,3.0,-.-,2.3,-.-,KANLIKAVAK-GOKSUN(KAHRAMANMARAS)"
"2023.12.08,16:39:07,38.4990,31.8460,5.0,-.-,2.7,-.-,GOLYAKA-ILGIN(KONYA)"
"2023.12.08,16:31:48,40.7040,29.0940,9.0,-.-,1.9,-.-,CINARCIK(YALOVA)"
"2023.12.08,16:28:40,40.7018,29.0713,5.3,-.-,1.2,-.-,CINARCIK(YALOVA)"
"2023.12.08,16:24:41,38.2438,38.0402,13.6,-.-,1.8,-.-,CUMHURIYET-YESILYURT(MALATYA)"
"2023.12.08,16:24:11,40.7088,29.0752,5.0,-.-,1.6,-.-,CINARCIK(YALOVA)"
"2023.12.08,15:52:47,38.5930,37.6060,28.3,-.-,1.4,-.-,GOLLUCE-DARENDE(MALATYA)"
"2023.12.08,15:13:21,38.3170,37.9830,0.0,-.-,1.7,-.-,BUYUKCIMIS-AKCADAG(MALATYA)"
"2023.12.08,15:11:26,38.1245,36.9567,6.0,-.-,1.8,-.-,TOMBAK-GOKSUN(KAHRAMANMARAS)"
"2023.12.08,14:41:39,38.3527,38.7873,3.5,-.-,2.5,-.-,CANAKCI-KALE(MALATYA)"
"2023.12.08,14:23:29,37.5053,37.0267,2.3,-.-,1.6,-.-,GUZELYURT-(KAHRAMANMARAS)"
