Derinlik,ML,Yer,Timestamp
28.2,2.0,MUGLA,1703244473.0
5.4,1.8,KAHRAMANMARAS,1703242868.0
12.0,1.8,BINGOL,1703241366.0
5.0,2.4,ADANA,1703240138.0
9.5,2.1,BINGOL,1703239471.0
13.2,1.4,AFYONKARAHISAR,1703239067.0
3.6,0.8,BALIKESIR,1703239048.0
5.0,3.7,CANKIRI,1703238616.0
0.0,1.2,MERSIN,1703236325.0
8.0,1.5,ADANA,1703236224.0
5.4,2.1,MUGLA,1703235575.0
8.2,2.7,BALIKESIR,1703233035.0
4.7,1.8,KAHRAMANMARAS,1703232215.0
3.8,1.4,HATAY,1703232198.0
5.7,2.2,KAHRAMANMARAS,1703231565.0
5.1,1.2,IZMIR,1703231523.0
8.7,2.2,BALIKESIR,1703231411.0
5.3,1.2,MALATYA,1703231327.0
7.1,2.2,KAHRAMANMARAS,1703224106.0
7.2,1.4,MALATYA,1703219069.0
18.1,1.4,MALATYA,1703214734.0
11.7,1.6,BURSA,1703213777.0
12.9,1.1,MALATYA,1703211766.0
5.0,1.7,ADIYAMAN,1703209322.0
11.3,1.4,IZMIR,1703206422.0
5.0,2.1,MALATYA,1703204919.0
2.3,1.6,KONYA,1703204595.0
2.3,2.1,HATAY,1703203572.0
7.7,1.5,BALIKESIR,1703198912.0
8.6,1.9,HATAY,1703198778.0
3.6,1.7,IZMIR,1703197100.0
5.2,3.2,HATAY,1703196220.0
13.0,1.2,MUGLA,1703195341.0
4.1,1.8,MALATYA,1703192459.0
7.4,1.6,ADANA,1703191625.0
7.6,2.6,KAHRAMANMARAS,1703188280.0
8.6,2.7,MUGLA,1703186105.0
5.4,4.1,HATAY,1703183072.0
5.0,2.3,KAHRAMANMARAS,1703181408.0
5.0,3.1,BALIKESIR,1703179795.0
5.2,1.7,KAHRAMANMARAS,1703171895.0
5.6,1.9,KAHRAMANMARAS,1703169275.0
4.5,2.0,KAHRAMANMARAS,1703163075.0
1.3,1.6,MUGLA,1703160604.0
6.7,2.1,DENIZLI,1703160533.0
7.8,2.2,DENIZLI,1703159784.0
9.9,1.8,ELAZIG,1703158994.0
8.3,1.9,CANKIRI,1703158698.0
14.2,1.3,AFYONKARAHISAR,1703158433.0
12.1,1.7,BINGOL,1703158282.0
6.8,1.4,CANKIRI,1703155143.0
9.4,1.3,ADANA,1703153635.0
0.0,1.7,ESKISEHIR,1703153044.0
0.0,1.5,MERSIN,1703151618.0
5.3,1.5,KAHRAMANMARAS,1703151497.0
6.4,1.6,BALIKESIR,1703149759.0
17.6,1.9,MERSIN,1703147047.0
5.0,1.5,NEVSEHIR,1703146824.0
12.0,1.5,MALATYA,1703143481.0
8.2,2.0,MALATYA,1703139819.0
0.0,1.0,KONYA,1703139791.0
0.0,1.6,KONYA,1703138997.0
5.3,1.6,KAHRAMANMARAS,1703138318.0
2.7,1.1,SAKARYA,1703138093.0
25.6,1.8,GUMUSHANE,1703137111.0
10.4,1.4,MALATYA,1703136081.0
12.4,1.8,DIYARBAKIR,1703135634.0
1.7,2.0,MUGLA,1703135444.0
5.5,1.8,KAHRAMANMARAS,1703132809.0
17.4,1.3,MUGLA,1703129923.0
44.2,2.2,ANTALYA,1703128940.0
7.1,1.5,KAHRAMANMARAS,1703128648.0
10.1,1.9,CANAKKALE,1703124047.0
5.0,1.4,MALATYA,1703123314.0
7.3,1.5,KAHRAMANMARAS,1703123255.0
6.3,2.1,CANAKKALE,1703120973.0
11.7,2.0,BURSA,1703120829.0
10.9,1.6,MALATYA,1703119263.0
7.7,1.5,ADANA,1703118784.0
3.2,1.3,ISPARTA,1703118478.0
5.0,2.0,MALATYA,1703117356.0
3.9,1.1,MALATYA,1703117108.0
8.4,1.1,KAHRAMANMARAS,1703116247.0
4.1,1.1,BALIKESIR,1703115858.0
7.5,1.3,KAHRAMANMARAS,1703113829.0
