"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.22,14:44:42,40.4348,28.8113,11.9,-.-,1.5,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.22,14:27:53,37.0230,29.0085,28.2,-.-,2.0,-.-,KARACAM-KOYCEGIZ(MUGLA)"
"2023.12.22,14:25:09,43.0990,31.8225,15.5,-.-,3.4,3.0,KARADENIZ,Ýlksel"
"2023.12.22,14:01:08,38.0967,36.7255,5.4,-.-,1.8,-.-,FINDIK-GOKSUN(KAHRAMANMARAS)"
"2023.12.22,13:36:06,39.4117,40.3508,12.0,-.-,1.8,-.-,GELINPERTEK-YEDISU(BINGOL)"
"2023.12.22,13:15:38,37.7612,35.5638,5.0,-.-,2.4,-.-,KAPIKAYA-KOZAN(ADANA)"
"2023.12.22,13:06:15,40.4060,28.8772,5.0,-.-,1.1,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.22,13:04:31,39.4053,40.3572,9.5,-.-,2.1,-.-,GELINPERTEK-YEDISU(BINGOL)"
"2023.12.22,12:57:47,38.7692,30.5172,13.2,-.-,1.4,-.-,AFYONKARAHISAR(AFYONKARAHISAR)"
"2023.12.22,12:57:28,39.6858,27.8478,3.6,-.-,0.8,-.-,KABAKDERE-(BALIKESIR)"
"2023.12.22,12:50:16,41.0003,33.4132,5.0,-.-,3.7,3.8,CATAK-ILGAZ(CANKIRI)"
"2023.12.22,12:12:05,36.2807,33.6675,0.0,-.-,1.2,-.-,DEDELER-GULNAR(MERSIN)"
"2023.12.22,12:10:24,37.5625,35.2710,8.0,-.-,1.5,-.-,KOKEZ-ALADAG(ADANA)"
"2023.12.22,11:59:35,36.8588,29.2415,5.4,-.-,2.1,-.-,SOGUTLU-FETHIYE(MUGLA)"
"2023.12.22,11:17:15,40.5622,27.6625,8.2,-.-,2.7,-.-,TOPAGAC-MARMARA(BALIKESIR)"
"2023.12.22,11:03:35,38.2137,37.5323,4.7,-.-,1.8,-.-,KANGAL-ELBISTAN(KAHRAMANMARAS)"
"2023.12.22,11:03:18,36.6003,36.4302,3.8,-.-,1.4,-.-,KARAMANKASI-KIRIKHAN(HATAY)"
"2023.12.22,10:52:45,37.9228,36.6767,5.7,-.-,2.2,-.-,TEKIR-(KAHRAMANMARAS)"
"2023.12.22,10:52:03,38.4067,27.3200,5.1,-.-,1.2,-.-,KAVAKLIDERE-BORNOVA(IZMIR)"
"2023.12.22,10:50:11,39.3233,28.3228,8.7,-.-,2.2,-.-,UMURLAR-SINDIRGI(BALIKESIR)"
"2023.12.22,10:48:47,38.1173,37.7945,5.3,-.-,1.2,-.-,FINDIKKOY-DOGANSEHIR(MALATYA)"
"2023.12.22,09:49:20,35.7220,29.7387,1.9,-.-,2.4,-.-,AKDENIZ,Ýlksel"
"2023.12.22,08:48:26,38.0733,37.1905,7.1,-.-,2.2,-.-,EKINOZU(KAHRAMANMARAS)"
"2023.12.22,08:44:17,40.4218,28.9408,5.4,-.-,1.8,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.22,08:29:25,40.4225,28.9070,7.6,-.-,1.8,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.22,08:12:47,36.4103,27.5022,79.6,-.-,3.2,3.2,ONIKI,ADALAR(AKDENIZ)"
"2023.12.22,07:58:58,39.3990,25.5583,2.6,-.-,2.6,-.-,EGE,DENIZI,Ýlksel"
"2023.12.22,07:24:29,37.9542,37.5928,7.2,-.-,1.4,-.-,KAPIDERE-DOGANSEHIR(MALATYA)"
"2023.12.22,06:18:29,35.1300,24.7808,19.7,-.-,2.0,-.-,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.22,06:12:14,38.2620,37.6975,18.1,-.-,1.4,-.-,HARUNUSAGI-AKCADAG(MALATYA)"
"2023.12.22,05:56:17,40.4168,28.8373,11.7,-.-,1.6,-.-,KUMYAKA-MUDANYA(BURSA)"
"2023.12.22,05:45:42,38.5995,43.0222,2.8,-.-,1.7,-.-,VAN,GOLU,Ýlksel"
"2023.12.22,05:23:30,40.4310,28.8440,8.3,-.-,1.9,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.22,05:22:46,38.8430,37.6422,12.9,-.-,1.1,-.-,CAYKOY-KULUNCAK(MALATYA)"
"2023.12.22,05:13:24,40.4223,28.8410,8.5,-.-,1.5,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.22,05:10:48,40.7113,27.5130,15.2,-.-,2.1,-.-,GUZELKOY,ACIKLARI-TEKIRDAG(MARMARA,DENIZI)"
"2023.12.22,04:50:50,36.5410,28.5742,20.3,-.-,2.5,-.-,AKDENIZ,Ýlksel"
"2023.12.22,04:42:02,38.1373,38.4795,5.0,-.-,1.7,-.-,AKSU-SINCIK(ADIYAMAN)"
"2023.12.22,04:35:29,36.2333,28.9472,11.7,-.-,2.3,-.-,AKDENIZ,Ýlksel"
"2023.12.22,04:24:25,36.4932,28.5957,20.1,-.-,2.3,-.-,AKDENIZ,Ýlksel"
"2023.12.22,04:12:45,35.2132,27.5930,14.2,-.-,3.3,-.-,AKDENIZ,Ýlksel"
"2023.12.22,03:53:42,39.0348,27.4892,11.3,-.-,1.4,-.-,ELMADERE-KINIK(IZMIR)"
"2023.12.22,03:41:40,36.2097,28.2077,5.5,-.-,1.8,-.-,AKDENIZ,Ýlksel"
"2023.12.22,03:28:39,38.0838,37.7645,5.0,-.-,2.1,-.-,SOGUT-DOGANSEHIR(MALATYA)"
"2023.12.22,03:23:15,38.4940,31.8250,2.3,-.-,1.6,-.-,GOLYAKA-ILGIN(KONYA)"
"2023.12.22,03:06:12,36.6253,36.3317,2.3,-.-,2.1,-.-,KALEDIBI-ISKENDERUN(HATAY)"
"2023.12.22,01:48:32,39.6637,27.8712,7.7,-.-,1.5,-.-,BALIKESIR(BALIKESIR)"
"2023.12.22,01:46:18,36.6207,36.3410,8.6,-.-,1.9,-.-,ALIBEYCAGILI-KIRIKHAN(HATAY)"
